seg,iter,div_round,nid,fit_cur,fit_best_global,fit_best_segment,improved,multi_visit,best_multi_fit
0,143,0,0,152.616,152.616,152.616,0,1,152.616
0,144,0,1,156.616,152.616,152.616,0,1,152.616
0,145,0,1,156.616,152.616,152.616,0,1,152.616
0,146,0,1,152.616,152.616,152.616,0,1,152.616
0,147,0,0,152.616,152.616,152.616,0,1,152.616
0,148,0,1,156,152.616,152.616,0,1,152.616
0,149,0,1,152.616,152.616,152.616,0,1,152.616
0,150,0,0,152.616,152.616,152.616,0,1,152.616
0,151,0,0,152.616,152.616,152.616,0,1,152.616
0,152,0,0,152.616,152.616,152.616,0,1,152.616
0,153,0,0,152.616,152.616,152.616,0,1,152.616
0,154,0,0,152.616,152.616,152.616,0,1,152.616
0,155,0,1,152.616,152.616,152.616,0,1,152.616
0,156,0,1,156.616,152.616,152.616,0,1,152.616
0,157,0,0,152.616,152.616,152.616,0,1,152.616
0,158,0,1,156.616,152.616,152.616,0,1,152.616
0,159,0,0,152.616,152.616,152.616,0,1,152.616
0,160,0,0,152.616,152.616,152.616,0,1,152.616
0,161,0,0,152.616,152.616,152.616,0,1,152.616
0,162,0,1,152.616,152.616,152.616,0,1,152.616
0,163,0,0,152.616,152.616,152.616,0,1,152.616
0,164,0,1,152.616,152.616,152.616,0,1,152.616
0,165,0,1,152.616,152.616,152.616,0,1,152.616
0,166,0,0,152.616,152.616,152.616,0,1,152.616
0,167,0,0,152.616,152.616,152.616,0,1,152.616
0,168,0,0,152.616,152.616,152.616,0,1,152.616
0,169,0,0,152.616,152.616,152.616,0,1,152.616
0,170,0,1,152.616,152.616,152.616,0,1,152.616
0,171,0,0,152.616,152.616,152.616,0,1,152.616
0,172,0,0,152.616,152.616,152.616,0,1,152.616
0,173,0,0,152.616,152.616,152.616,0,1,152.616
0,174,0,1,156.616,152.616,152.616,0,1,152.616
0,175,0,1,156.616,152.616,152.616,0,1,152.616
0,176,0,1,152.616,152.616,152.616,0,1,152.616
0,177,0,1,152.616,152.616,152.616,0,1,152.616
0,178,0,1,152,152,152,1,1,152
0,179,0,1,148.222,148.222,148.222,1,1,148.222
0,180,0,1,147.1,147.1,147.1,1,1,147.1
0,181,0,1,144,144,144,1,1,144
0,182,0,0,142.1,142.1,142.1,1,1,142.1
0,183,0,0,142.1,142.1,142.1,0,1,142.1
0,184,0,0,142.1,142.1,142.1,0,1,142.1
0,185,0,0,142.781,142.1,142.1,0,1,142.1
0,186,0,0,142.1,142.1,142.1,0,1,142.1
0,187,0,0,142.1,142.1,142.1,0,1,142.1
0,188,0,1,142.1,142.1,142.1,0,1,142.1
0,189,0,0,142.1,142.1,142.1,0,1,142.1
0,190,0,0,142.1,142.1,142.1,0,1,142.1
0,191,0,0,143,142.1,142.1,0,1,142.1
0,192,0,1,140.111,140.111,140.111,1,1,140.111
0,193,0,1,140.111,140.111,140.111,0,1,140.111
0,194,0,0,140.111,140.111,140.111,0,1,140.111
0,195,0,1,143,140.111,140.111,0,1,140.111
0,196,0,0,148.111,140.111,140.111,0,1,140.111
0,197,0,1,140.111,140.111,140.111,0,1,140.111
0,198,0,1,143,140.111,140.111,0,1,140.111
0,199,0,1,140.111,140.111,140.111,0,1,140.111
0,200,0,1,142.1,140.111,140.111,0,1,140.111
1,0,0,2,140.111,140.111,140.111,0,1,140.111
1,1,0,2,140.792,140.111,140.111,0,1,140.111
1,2,0,2,156.111,140.111,140.111,0,1,140.111
1,3,0,2,144,140.111,140.111,0,1,140.111
1,4,0,0,140.111,140.111,140.111,0,1,140.111
1,5,0,0,140.111,140.111,140.111,0,1,140.111
1,6,0,1,140.111,140.111,140.111,0,1,140.111
1,7,0,0,140.111,140.111,140.111,0,1,140.111
1,8,0,1,140.111,140.111,140.111,0,1,140.111
1,9,0,1,140.111,140.111,140.111,0,1,140.111
1,10,0,1,142.1,140.111,140.111,0,1,140.111
2,0,0,1,140.111,140.111,140.111,0,1,140.111
2,1,0,1,140.111,140.111,140.111,0,1,140.111
2,2,0,1,140.111,140.111,140.111,0,1,140.111
2,3,0,2,140.111,140.111,140.111,0,1,140.111
2,4,0,2,140.792,140.111,140.111,0,1,140.111
2,5,0,0,140.111,140.111,140.111,0,1,140.111
2,6,0,2,156.111,140.111,140.111,0,1,140.111
2,7,0,1,142.1,140.111,140.111,0,1,140.111
2,8,0,1,143,140.111,140.111,0,1,140.111
