Number_of_cities,Dataset,Run,Fitness,Runtime,Solution,A,Drone,Truck,folder
30,C101_0.5.dat,1,297.7294724746968,419.7444221973419,"[[[[0, [1]], [29, [29, 23]], [23, []], [21, [21, 24]], [24, []], [28, [28, 6, 8]], [30, [30, 27]], [27, []], [26, [26, 2]], [8, []], [9, [9, 4]], [6, []], [4, []], [2, []], [1, []], [3, [3, 5]], [5, []]], [[0, [11, 16, 10, 14, 13]], [20, [20, 22, 19]], [22, []], [25, [25, 15, 17, 18]], [13, []], [17, []], [18, []], [19, []], [15, []], [16, []], [14, []], [12, [12, 7]], [11, []], [10, []], [7, []]]], [[[20, [20, 22, 19]]], [[29, [29, 23]]], [[25, [25, 15, 17, 18]]], [[21, [21, 24]]], [[28, [28, 6, 8]]], [[30, [30, 27]]], [[26, [26, 2]]], [[12, [12, 7]]], [[9, [9, 4]]], [[3, [3, 5]]]]]",8,2,2,appendix
30,C101_0.5.dat,2,293.1786167715613,746.6079933643341,"[[[[0, [16, 14, 19, 18, 15, 26, 23]], [23, []], [26, []], [12, [12, 17, 13]], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []]], [[0, [1, 2, 5, 11]], [3, [3, 4]], [4, []], [1, []], [2, []], [9, [9, 6, 8]], [8, [7, 10]], [7, []], [5, []], [6, []], [11, [30, 25]], [10, []], [21, [21, 27]], [27, []], [29, [29, 22]], [30, []], [28, [28, 24, 20]], [25, []], [24, []], [22, []], [20, []]]], [[[3, [3, 4]]], [[9, [9, 6, 8]]], [[8, [7, 10]]], [[12, [12, 17, 13]]], [[11, [30, 25]]], [[21, [21, 27]]], [[29, [29, 22]]], [[28, [28, 24, 20]]]]]",8,2,2,appendix
30,C101_0.5.dat,3,297.1327459504216,564.4177486896515,"[[[[0, [13, 16]], [22, [22, 24, 11, 18, 19, 26]], [24, []], [26, []], [25, [25, 17, 12, 8]], [13, []], [17, []], [18, []], [19, []], [15, [15, 14]], [16, []], [14, []], [12, []], [11, []], [8, []]], [[0, [4, 29, 5, 1, 23]], [20, [20, 28, 10]], [29, []], [30, [30, 27]], [28, []], [27, []], [21, [21, 9]], [23, []], [10, []], [3, [3, 2]], [5, []], [4, []], [1, []], [2, []], [9, []], [6, [6]], [7, [7]]]], [[[22, [11, 18, 19]]], [[22, [22, 24, 26]]], [[25, [25, 17, 12, 8]]], [[20, [20, 28, 10]]], [[30, [30, 27]]], [[21, [21, 9]]], [[15, [15, 14]]], [[3, [3, 2]]], [[6, [6]]], [[7, [7]]]]]",8,2,2,appendix
30,C101_0.5.dat,4,298.0,195.9290497303009,"[[[[0, [16, 15, 14, 23, 13, 18, 19, 7, 11]], [23, []], [13, []], [17, [17]], [18, []], [19, []], [15, []], [16, []], [14, []], [12, [12]], [11, []], [7, []]], [[0, [6, 9, 4, 2, 1, 10, 21, 27, 29, 24, 3, 5, 26, 30, 28]], [20, [20, 8]], [21, []], [22, [22]], [27, []], [29, []], [25, [25]], [24, []], [26, []], [30, []], [28, []], [10, []], [8, []], [9, []], [6, []], [2, []], [1, []], [4, []], [3, []], [5, []]]], [[[20, [20, 8]]], [[22, [22]]], [[17, [17]]], [[25, [25]]], [[12, [12]]]]]",8,2,2,appendix
30,C101_0.5.dat,5,294.0,458.1197628974915,"[[[[0, [16, 26, 23]], [23, [18, 19, 13]], [26, []], [13, []], [17, [17, 12, 14]], [18, []], [19, []], [14, []], [12, []], [16, []], [15, [15, 9]], [9, []], [6, [6, 7]], [7, []]], [[0, [1, 29, 11, 2, 28]], [20, [20, 24, 3]], [24, []], [25, [25, 27, 22]], [28, []], [29, []], [30, [30, 10, 8]], [27, []], [22, []], [21, [21, 4]], [10, []], [11, []], [8, []], [1, []], [2, []], [4, []], [3, []], [5, [5]]]], [[[23, [18, 19, 13]]], [[20, [20, 24, 3]]], [[25, [25, 27, 22]]], [[17, [17, 12, 14]]], [[30, [30, 10, 8]]], [[15, [15, 9]]], [[21, [21, 4]]], [[5, [5]]], [[6, [6, 7]]]]]",8,2,2,appendix
30,C101_0.5.dat,6,298.0,208.4413065910339,"[[[[0, [13, 19, 15, 16, 14, 18, 26, 24]], [26, []], [13, []], [17, [17]], [18, []], [19, []], [15, []], [16, []], [14, []], [12, [12]], [24, []]], [[0, [1, 9, 10, 11, 2, 4, 8, 27, 23, 28, 30, 29, 7, 6, 3, 21, 5]], [6, []], [7, []], [5, []], [3, []], [2, []], [1, []], [4, []], [9, []], [8, []], [10, []], [11, []], [23, []], [28, []], [30, []], [29, []], [27, []], [25, [25, 20]], [22, [22]], [21, []], [20, []]]], [[[17, [17]]], [[12, [12]]], [[25, [25, 20]]], [[22, [22]]]]]",8,2,2,appendix
30,C101_0.5.dat,7,298.0,684.0087220668793,"[[[[0, [1]], [5, [5, 3]], [3, []], [10, [10, 2]], [1, []], [2, []], [8, [8, 4, 23]], [4, []], [9, [9, 29]], [7, [7, 24, 20]], [23, []], [27, [27, 28]], [28, []], [30, [30, 21]], [29, []], [24, []], [21, []], [20, []]], [[0, [16, 26, 14, 19, 18, 22, 15, 17, 13, 6]], [22, []], [25, [25, 12, 11]], [26, []], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [11, []], [6, []]]], [[[5, [5, 3]]], [[10, [10, 2]]], [[25, [25, 12, 11]]], [[8, [8, 4, 23]]], [[9, [9, 29]]], [[7, [7, 24, 20]]], [[27, [27, 28]]], [[30, [30, 21]]]]]",8,2,2,appendix
30,C101_0.5.dat,8,293.0,395.5203695297241,"[[[[0, [16, 18, 14, 23, 13, 26]], [22, [22, 19, 11]], [23, []], [26, []], [12, [12, 17, 15]], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [11, []], [6, [6, 7]], [7, []]], [[0, [1]], [29, [29, 3]], [25, [25, 24, 20, 28]], [28, []], [30, [30, 27]], [27, []], [24, []], [20, []], [21, [21, 9, 8]], [10, [10, 4]], [3, []], [5, [5]], [4, []], [1, []], [2, [2]], [9, []], [8, []]]], [[[29, [29, 3]]], [[22, [22, 19, 11]]], [[25, [25, 24, 20, 28]]], [[30, [30, 27]]], [[12, [12, 17, 15]]], [[21, [21, 9, 8]]], [[10, [10, 4]]], [[5, [5]]], [[2, [2]]], [[6, [6, 7]]]]]",8,2,2,appendix
30,C101_0.5.dat,9,298.0,207.6218359470367,"[[[[0, [29, 1, 9, 8, 11, 21, 3, 2, 4, 28, 23, 26, 7, 6, 5, 27, 30]], [22, [22]], [23, []], [26, []], [25, [25, 20]], [27, []], [28, []], [30, []], [29, []], [20, []], [21, []], [11, []], [9, []], [8, []], [6, []], [2, []], [1, []], [4, []], [5, []], [3, []], [7, []]], [[0, [19, 13, 18, 10, 15, 24, 16, 14]], [24, []], [13, []], [17, [17]], [18, []], [19, []], [15, []], [16, []], [14, []], [12, [12]], [10, []]]], [[[22, [22]]], [[25, [25, 20]]], [[17, [17]]], [[12, [12]]]]]",8,2,2,appendix
30,C101_0.5.dat,10,298.0,355.7728164196014,"[[[[0, [1, 23]], [3, [3, 2]], [4, [4]], [2, []], [1, []], [8, [8, 9, 6]], [9, []], [6, []], [7, [7, 5]], [5, []], [10, [10]], [11, [11, 26]], [23, []], [22, [22, 28, 24]], [27, [27, 30]], [26, []], [28, []], [30, []], [29, [29]], [24, []]], [[0, [16, 14, 18, 19, 15, 17, 13]], [21, [12, 25, 21, 20]], [13, []], [17, []], [18, []], [19, []], [15, []], [16, []], [14, []], [12, []], [25, []], [20, []]]], [[[3, [3, 2]]], [[4, [4]]], [[21, [12, 25, 21, 20]]], [[8, [8, 9, 6]]], [[7, [7, 5]]], [[10, [10]]], [[11, [11, 26]]], [[22, [22, 28, 24]]], [[27, [27, 30]]], [[29, [29]]]]]",8,2,2,appendix
